n,lam,d,cand,Lzero,Rzero,shift_c,ratio_re,ratio_im
7,3|3|1,4,princN4,0,1,,,
7,3|3|1,4,princN7,0,1,,,
7,3|3|1,4,fakedeg,0,0,,3.0,6.0
7,3|2|2,2,princN3,0,0,,3.0,0.0
7,3|2|2,2,princN4,0,1,,,
7,3|2|2,2,princN7,0,0,,0.166667,0.0
7,3|2|2,2,fakedeg,0,0,0,1.0,0.0
7,3|2|2,3,princN3,0,1,,,
7,3|2|2,3,princN4,0,1,,,
7,3|2|2,3,princN7,0,1,,,
7,3|2|2,3,fakedeg,0,1,,,
7,3|2|2,4,princN3,0,0,,3.0,-6.0
7,3|2|2,4,princN4,0,1,,,
7,3|2|2,4,princN7,0,0,,1.5,-3.0
7,3|2|2,4,fakedeg,0,0,,3.0,-6.0
7,3|2|1|1,2,princN3,0,1,,,
7,3|2|1|1,2,princN4,0,1,,,
7,3|2|1|1,2,princN5,0,0,0,1.0,0.0
7,3|2|1|1,2,princN7,0,0,,0.25,0.0
7,3|2|1|1,2,fakedeg,0,0,0,1.0,0.0
7,3|2|1|1,3,princN3,0,1,,,
7,3|2|1|1,3,princN4,0,0,,-8.0,0.0
7,3|2|1|1,3,princN5,0,0,,-4.0,6.928203
7,3|2|1|1,3,princN7,0,0,,-2.666667,-0.0
7,3|2|1|1,3,fakedeg,0,0,,-8.0,0.0
7,3|2|1|1,4,princN3,0,1,,,
7,3|2|1|1,4,princN4,0,1,,,
7,3|2|1|1,4,princN5,0,0,,-13.0,-6.0
7,3|2|1|1,4,princN7,0,1,,,
7,3|2|1|1,4,fakedeg,0,0,,-13.0,-6.0
7,3|1|1|1|1,2,princN3,0,1,,,
7,3|1|1|1|1,2,princN5,0,0,0,1.0,0.0
7,3|1|1|1|1,2,princN6,0,1,,,
7,3|1|1|1|1,2,princN7,0,0,,0.25,0.0
7,3|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
7,3|1|1|1|1,3,princN3,0,1,,,
7,3|1|1|1|1,3,princN5,0,1,,,
7,3|1|1|1|1,3,princN6,0,1,,,
7,3|1|1|1|1,3,princN7,0,1,,,
7,3|1|1|1|1,3,fakedeg,0,1,,,
7,3|1|1|1|1,4,princN3,0,1,,,
7,3|1|1|1|1,4,princN5,0,0,,9.0,0.0
7,3|1|1|1|1,4,princN6,0,1,,,
7,3|1|1|1|1,4,princN7,0,1,,,
7,3|1|1|1|1,4,fakedeg,0,0,,9.0,0.0
7,2|2|2|1,2,princN2,1,1,0,,
7,2|2|2|1,2,princN4,1,1,0,,
7,2|2|2|1,2,princN5,1,1,0,,
7,2|2|2|1,2,princN7,1,1,0,,
7,2|2|2|1,2,fakedeg,1,1,0,,
7,2|2|2|1,3,princN2,0,1,,,
7,2|2|2|1,3,princN4,0,0,,5.0,-0.0
7,2|2|2|1,3,princN5,0,0,,1.25,-2.165064
7,2|2|2|1,3,princN7,0,0,,1.25,0.0
7,2|2|2|1,3,fakedeg,0,0,,2.5,-0.0
7,2|2|2|1,4,princN2,0,1,,,
7,2|2|2|1,4,princN4,0,1,,,
7,2|2|2|1,4,princN5,0,1,,,
7,2|2|2|1,4,princN7,0,1,,,
7,2|2|2|1,4,fakedeg,0,0,,3.0,2.0
7,2|2|1|1|1,2,princN2,0,1,,,
7,2|2|1|1|1,2,princN5,0,0,0,1.0,-0.0
7,2|2|1|1|1,2,princN6,0,1,,,
7,2|2|1|1|1,2,princN7,0,0,,0.25,-0.0
7,2|2|1|1|1,2,fakedeg,0,0,0,1.0,-0.0
7,2|2|1|1|1,3,princN2,0,1,,,
7,2|2|1|1|1,3,princN5,0,0,,-2.5,4.330127
7,2|2|1|1|1,3,princN6,0,1,,,
7,2|2|1|1|1,3,princN7,0,0,,-5.0,0.0
7,2|2|1|1|1,3,fakedeg,0,0,,-5.0,0.0
7,2|2|1|1|1,4,princN2,0,1,,,
7,2|2|1|1|1,4,princN5,0,1,,,
7,2|2|1|1|1,4,princN6,0,1,,,
7,2|2|1|1|1,4,princN7,0,1,,,
7,2|2|1|1|1,4,fakedeg,0,1,,,
7,2|1|1|1|1|1,2,princN2,1,1,0,,
